content,final_text,score
"game rusak skrng banyak yg make2 cheat,buat game nya jadi lag parah,skrng maen jadi gak nyaman",game rusak skrng banyak yg make cheatbuat game nya jadi lag parahskrng maen jadi gak nyaman,2
aku udh kasih bintang 5 kalo bisa give aku skin ling👍,aku sudah kasih bintang kalo bisa give aku skin ling,5
keren,keren,5
padahal jaringan lancar tapi ngeleg gajelas jaringan ijo ngelegnya sampe AFK + GW LS 4X😭😭 oh ya kenapa JessNoLimit winstreak dan pro player lainya pasti ada kalah 1 kek 2 kek 3 paling lah ini gak🤨,padahal jaring lancar tapi ngeleg gajelas jaring ijo ngelegnya sampe afk gw ls x oh ya kenapa jessnolimit winstreak dan pro player lai pasti ada kalah kek kek paling lah ini gak,2
yurr,yurr,5
maaf sebelumnya entah kenapa akhir² ini sering patah² padahal sinyal lagi bagus 🙏,maaf belum entah kenapa akhir ini sering patah padahal sinyal lagi bagus,4
game paling seru,game paling seru,5
"KASIH TIM YANG BAGUS DONG, MONYET DIPIKIR GA CAPEK NGEPUSH?",kasih tim yang bagus dong monyet pikir tidak capek ngepush,1
seruuu banget bagus,seruuu banget bagus,5
oi monton..... klo macting solo ketemu solo lah... jngn solo ktmu trio/duo,oi monton klo macting solo ketemu solo lah jngn solo ktmu trioduo,1
game kocak sinyal ijo tapi ngeleg mending main ff walau grafik buriq tapi jaringan stabil,game kocak sinyal ijo tapi ngeleg mending main ff walau grafik buriq tapi jaring stabil,1
mohon maff perbaiki bug ms nya ms saya 6ms ko leg parah banget pas di pencet merah 308ms itu gimana pas coba gane lain gak cuman ml doang plis di fix aja jangan terlalu buat skin hero baru fix dulu ms nya percuma banyak skin hero kalo ms nya rusak makin males main tolong pihak monton mohon hargai nya makasih,mohon maff baik bug ms nya ms saya ms ko leg parah banget pas di pencet merah ms itu gimana pas coba gane lain gak cuman ml doang plis di fix aja jangan terlalu buat skin hero baru fix dulu ms nya percuma banyak skin hero kalo ms nya rusak makin males main tolong pihak monton mohon harga nya makasih,1
"kenapa saya selalu dapat tim beban?, bahkan saya sering mendapatkan mvp kalah tapi bintang saya tetap turun. ini game tidak adil",kenapa saya selalu dapat tim beban bahkan saya sering dapat mvp kalah tapi bintang saya tetap turun ini game tidak adil,1
gamenya bagus bangetttt aku sukaa gara gara game ini aku pindah game dari free fire ke mobile legends 😁,gamenya bagus bangetttt aku sukaa gara gara game ini aku pindah game dari free fire ke mobile legends,5
semua orang udah taulahya!,semua orang udah taulahya,1
biar naik bintangnya 🗿 pake 3 akun cukup ya,biar naik bintang pake akun cukup ya,5
"Match marking nya jelek, selalu dpat tim trol kalo menang jadi percuma",match marking nya jelek selalu dpat tim trol kalo menang jadi percuma,1
buat orang yang ingin mendownload ini saya sarankan untuk malihat sekitar atau anda akan stres karena lostrek sekian terimakasih 🙏,buat orang yang ingin mendownload ini saya saran untuk malihat sekitar atau anda akan stres karena lostrek sekian terimakasih,5
"solo dapa tim bot,mabar ketemu penjoki,,hadeeee. malas lebih baik uninstall",solo dapa tim botmabar ketemu penjokihadeeee malas lebih baik uninstall,1
"gimana ini monton gabisa ganti foto profil, samaa banyak sekali orang drak sistem",gimana ini monton gabisa ganti foto profil samaa banyak sekali orang drak sistem,4
permainan ini memang sru bisa mabar dan enak buat mainan tpi ya gitulah mainannya pke kouta,main ini memang sru bisa mabar dan enak buat main tpi ya gitulah main pke kouta,5
kasi tim yang setara mmk jaringan benerin jga nyett,kasi tim yang tara mmk jaring benerin jga nyett,2
aku suka main mobile legends,aku suka main mobile legends,5
aku sukaaaaaaaaaaaaaaaaaaaaa,aku sukaaaaaaaaaaaaaaaaaaaaa,5
game bagus cocok untuk yang mau menjadi stres aku main naik turun terus,game bagus cocok untuk yang mau jadi stres aku main naik turun terus,5
game nya bagus bgt cumann lagg bangett tetapp smngtt montonn,game nya bagus banget cumann lagg bangett tetapp smngtt montonn,5
"Sy menyukai game ini, tapi hp gw lag btw. Tolong bantu sy kurangi lag nyaa",sy suka game ini tapi hp gw lag btw tolong bantu sy kurang lag nyaa,5
qame ini sangat menyenangkan,qame ini sangat senang,5
"kembalikan mc kami yang lama, ga enak mcgg min:(",kembali mc kami yang lama tidak enak mcgg min,3
kalah berkali kali menang cuma sekali,kalah kali kali menang cuma sekali,1
tolong lah nonton kalau kasi tim itu yg sesuai napa capek bukan gem yg gampang 1 vs 5 jadinya tolong di sesuaikan lah tim nya capek kalah karena tim gitu aneh tau,tolong lah nonton kalau kasi tim itu yg sesuai napa capek bukan gem yg gampang vs jadi tolong di sesuai lah tim nya capek kalah karena tim gitu aneh tau,1
perbaiki sistem report didalam game percuma ada sistem report tapi gak ada gunanya,baik sistem report dalam game percuma ada sistem report tapi gak ada guna,3
Mon jangan ngasih dark sistem lah gw muak anj,mon jangan ngasih dark sistem lah gw muak anj,1
"karena seru,tapi tolong anak² dark sistem tolong di hilang kan",karena serutapi tolong anak dark sistem tolong di hilang kan,5
karakter barunya gak demen bikin bosen,karakter baru gak demen bikin bosen,2
good,good,5
mlbb sekarang ga asik masa ketemu musuh jago mulu sedangkan tim sendiri beban nya minta ampun udah senang menang 1 match langsung kalah 1 metch adeh,mlbb sekarang tidak asik masa ketemu musuh jago mulu sedang tim sendiri beban nya minta ampun udah senang menang match langsung kalah metch adeh,1
saya sangat suka dengan mobile legend s tapi banyak yang main kaya ga ngerti main gitu jadi kalo main kasih yang sepantaran jadi ga bikin kesel gitu,saya sangat suka dengan mobile legend s tapi banyak yang main kaya tidak ngerti main gitu jadi kalo main kasih yang pantar jadi tidak bikin kesel gitu,5
bisa menemani ku saat kesepian 🤭,bisa tani ku saat sepi,5
geme nya sangat rekomendasi untuk kalian semua.,geme nya sangat rekomendasi untuk kalian semua,5
untuk sistem machtmaking lebih diperhatikan ya moonton anj,untuk sistem machtmaking lebih perhati ya moonton anj,1
Saya suka dengan GAME nya hanya saja banyak fitu peningkatan jaringan hanya formalitas saja LEG yang tak bisa saya hargai di game ini.,saya suka dengan game nya hanya saja banyak fitu tingkat jaring hanya formalitas saja leg yang tak bisa saya harga di game ini,3
makasih sudah kasih skin gratis tapi mohon saya kena darksystem Mulu mohon saya di kasih team yang jago tapi gakpapa kalo saya bisa mithic di semua season,makasih sudah kasih skin gratis tapi mohon saya kena darksystem mulu mohon saya di kasih team yang jago tapi gakpapa kalo saya bisa mithic di semua season,5
"game aneh bug ny gak pernah di perbaiki, seperti jaringan ny ms 20 tapi lag ny minta ampun gak di kasi main gw",game aneh bug ny gak pernah di baik seperti jaring ny ms tapi lag ny minta ampun gak di kasi main gw,1
asal mau naik rank ada aja dark sistemnya huhhh. montoon montoon,asal mau naik rank ada aja dark sistem huhhh montoon montoon,1
game ini sangat BAGUSSSS saya isis bintang 5.,game ini sangat bagussss saya isis bintang,5
y bagus,y bagus,5
kerren👍,kerren,5
lain kali kasih tim yg bener! kocak! maen rank kalah mu ! capek saya naikin nya! percuma banget saya push ujung ujungnya defeat ! minimal ngasih tim yg bener! capek saya! niat nya mau nambah bintang malah turun! lain kali klo ngasih tim yg bener! udah lose streak 15 × gak ngotak! sering lag tiba tiba padahal Internet lancar tolong lah masa lagi war tiba tiba lag gajelas! padahal kuota nya masih ada banyak bgt! sinyal ny juga oke oke aja!,lain kali kasih tim yg bener kocak maen rank kalah mu capek saya naikin nya percuma banget saya push ujung ujung defeat minimal ngasih tim yg bener capek saya niat nya mau nambah bintang malah turun lain kali klo ngasih tim yg bener udah lose streak gak ngotak sering lag tiba tiba padahal internet lancar tolong lah masa lagi war tiba tiba lag gajelas padahal kuota nya masih ada banyak banget sinyal ny juga oke oke aja,1
"Kasih tim yg imbang dong, capek gw LS gendong² dark system",kasih tim yg imbang dong capek gw ls gendong dark system,1
puas bgt sihh sistemnya bgs bangeett😘😘,puas banget sihh sistem bgs bangeett,5
"monton pelit banget,ga di kasi menang sama sekali,jadi males main kalo gini",monton pelit bangetga di kasi menang sama sekalijadi males main kalo gin,1
selalu ketemu tim daek sistem,selalu ketemu tim daek sistem,1
good job ini game,good job ini game,5
monton knp ya gemnya selalu ngeleg telat nyekil sama jalan padahal sinyal bagus hp ga ngeleg bikin emosi aja kalau lagi main,monton knp ya gemnya selalu ngeleg telat nyekil sama jalan padahal sinyal bagus hp tidak ngeleg bikin emosi aja kalau lagi main,1
game nya sangat seru dan membuat hati lebih rileks,game nya sangat seru dan buat hati lebih rileks,5
game jelek kebanyakan orng pake cheat,game jelek banyak orng pake cheat,1
"game apa ini gada menantang2nya,apa karena saya proplayer,tolong dong yg bikin gamenya agak susah permainannya gue udh glory nih.iz...iz",game apa ini gada menantangnyaapa karena saya proplayertolong dong yg bikin gamenya agak susah main gue sudah glory nihiziz,5
not bad,not bad,5
moonton mantap,moonton mantap,5
knp diamond hilang sendiri ya? padahal masih ada sisa 33/38 diamond setengah top up event 😱,knp diamond hilang sendiri ya padahal masih ada sisa diamond tengah top up event,2
mantap,mantap,5
game nya bagus dan grafik nya bagus dari pada hok,game nya bagus dan grafik nya bagus dari pada hok,5
game nya jelek di kasih team dark sistem Mulu game burik,game nya jelek di kasih team dark sistem mulu game burik,1
gamenya sangat bagus,gamenya sangat bagus,5
"bisa gak kasih tim yang waras ajggggggg, gue dari tdi main ketemu tim g jls mulu sempakkk, niat mau push rank malah naik turun naik turun, ksih tim yang ngotak lahhh, capeee koh main solo ketemu kek bgtuan ajgggggg moonton",bisa gak kasih tim yang waras ajggggggg gue dari tdi main ketemu tim g jls mulu sempakkk niat mau push rank malah naik turun naik turun ksih tim yang ngotak lahhh capeee koh main solo ketemu kek bgtuan ajgggggg moonton,1
bagus sekali,bagus sekali,5
Hero PP game PP nggak adil game ktl,hero pp game pp tidak adil game ktl,5
ojo di donlod marai maksiat 😑,ojo di donlod mara maksiat,1
kenapa saya ngga bisa main di rank lahi,kenapa saya tidak bisa main di rank lah,5
seru sekali tapi kalau kalah aku emosi,seru sekali tapi kalau kalah aku emosi,4
tidak ada daeksistem aku menyukai game ini,tidak ada daeksistem aku suka game ini,5
ga jelas ini game ada bucin toxic lag banyak ikaln bikin orang marah dan gak seri,tidak jelas ini game ada bucin toxic lag banyak ikaln bikin orang marah dan gak seri,1
gamenya burik jelek,gamenya burik jelek,1
saya tidak suka game ini kerana kawan saya,saya tidak suka game ini rana kawan saya,1
apaan sih benci bet gua klo lagi main tiba tiba jaringgan lag padahal di game lain bagus bagus aja,apa sih benci bet gua klo lagi main tiba tiba jaringgan lag padahal di game lain bagus bagus aja,5
王の名誉と競争できれば,,5
GAMENYA BIKIN SETRESSSSS DI KASIH LS MULU SESEKALI WS KEK APA KEK JANGAN LS LS LS SETRES MONTON SETRES TAU GA & TOLONG KURANGI DARK SISTEM NYA,gamenya bikin setresssss di kasih ls mulu sekal ws kek apa kek jangan ls ls ls tres monton tres tau tidak tolong kurang dark sistem nya,2
game nya bagus saya sangat suka sama game ini.,game nya bagus saya sangat suka sama game ini,5
game pepek jaringan server benerin noh,game pepek jaring server benerin noh,1
Ini permainan ml lumayan seru,ini main ml lumayan seru,3
good,good,5
muntun plis kasih aku skin m word yin aku nggak pernah nyobain skin yin yang lain aku juga mau nyobain skin yang idaman ku plis ya muntun plisssssss,muntun plis kasih aku skin m word yin aku tidak pernah nyobain skin yin yang lain aku juga mau nyobain skin yang idam ku plis ya muntun plisssssss,5
moonton ban akun gua pliss,moonton ban akun gua pliss,1
"Game rusak..sering reload,ngecrash,sinyal hijau tiba"" merah lh..makin ksini makin parah aja..",game rusaksering reloadngecrashsinyal hijau tiba merah lhmakin ksini makin parah aja,1
bintang 🌟🌟🌟🌟🌟,bintang,5
game ancur tiap main di kasih tim nub,game ancur tiap main di kasih tim nub,1
cihuy 🤫🧏🏻 dark system,cihuy dark system,5
bagusnya,bagus,5
"tolong dong kalau jumpa tim itu sesuai sama sama skill kitaa,, jangan di samakan sama tim bocahh",tolong dong kalau jumpa tim itu sesuai sama sama skill kitaa jangan di sama sama tim bocahh,1
game nya bagus tapi sinyal 20ms masak ga bisa gerak. tolong di perbaiki lagi ya.,game nya bagus tapi sinyal ms masak tidak bisa gerak tolong di baik lagi ya,3
ping ijo ngeleg ga jelas,ping ijo ngeleg tidak jelas,1
game burikk kebanyakan dark sistem masa main 1 kali win 10 lose devloper gila jangan di downlod tamba hari ini game tamba gila make hiro lain b aja jaringan pas pake hiro andalan nehh langsung merahhh,game burikk banyak dark sistem masa main kali win lose devloper gila jangan di downlod tamba hari ini game tamba gila make hiro lain b aja jaring pas pake hiro andal nehh langsung merahhh,5
saya tidak mau bermain game ini lagi. selagi main tiba - tiba dihina. pemain game ini sangat kasar,saya tidak mau main game ini lagi selagi main tiba tiba hina main game ini sangat kasar,2
"mending hapus aja tu saran game ndk ada yg berubah ndk guna juga, cs kerja juga ndk ini solo lawan duo, solo gabung sama bucin lah kimaak",mending hapus aja tu saran game ndk ada yg ubah ndk guna juga cs kerja juga ndk ini solo lawan duo solo gabung sama bucin lah kimaak,1
super bagus,super bagus,5
"Makin ga jelas moonton ngasih tim nya buat player solo,terlalu ga imbang Dark sistem yg terlalu op moonton. Makin banyak player ga jelas,makin males main nya.kalah mekanik atau strategi ini masih wajar,lah ini ada yg afk,ada jungler tpi ga jelas wah lah Pokok nya,bikin pengen banting hp,yg tadi nya hiburan malah jadi gondok😤😤😤,tolong di perbaiki dari segi pembagian tim moonton.",makin tidak jelas moonton ngasih tim nya buat player soloterlalu tidak imbang dark sistem yg terlalu op moonton makin banyak player tidak jelasmakin males main nyakalah mekanik atau strategi ini masih wajar ini ada yg afkada jungler tpi tidak jelas wah lah pokok nyabikin ken banting hpyg tadi nya hibur malah jadi gondok tolong di baik dari segi bagi tim moonton,1
"apalahhhh game nya banyak bug chipp,bisa bikin game ga sih?",apalahhhh game nya banyak bug chippbisa bikin game tidak sih,1
"moonton pilih kasih ngasih tim lawan yang bagus, giliran tim gw kek orang bego GK punya bapak masa iya tim gw punya mm 1 menit dah mati 5 GK waras bego bego jadi tolong kasih tim yg sepantaran kalo mau yang bego ketemu bego yang jago ketemu jago",moonton pilih kasih ngasih tim lawan yang bagus gilir tim gw kek orang bego tidak punya bapak masa iya tim gw punya mm menit dah mati tidak waras bego bego jadi tolong kasih tim yg pantar kalo mau yang bego ketemu bego yang jago ketemu jago,1
saya suka ❤,saya suka,5
terlalu lag server padalan jaringan bagus mohon segera di perbaikin,terlalu lag server padalan jaring bagus mohon segera di perbaikin,1
game burik,game burik,5
seru dan gratis,seru dan gratis,5
gw semakin yakin game ini curang. menang atau kalah sudah di atur sama aplikasi . kecewa banget dah.,gw makin yakin game ini curang menang atau kalah sudah di atur sama aplikasi kecewa banget dah,3
Monntoon game u jelek matchmaching sama player sengaja kalah AKU UNINSTAL sekarang,monntoon game u jelek matchmaching sama player sengaja kalah aku uninstal sekarang,5
game nya bagus dan sering di kasih skin gratis makasih mobil legenda 😀😀😀,game nya bagus dan sering di kasih skin gratis makasih mobil legenda,5
"semakin lama semakin nggak jelas ni game jaringannya hijau tapi ngelag, plis moonton beri perubahan sedikit terhadap jaringan",makin lama makin tidak jelas ni game jaring hijau tapi ngelag plis moonton beri ubah sedikit hadap jaring,1
"game apa ni udah 4 season gua dikasih lose trike mulu, memang ni game",game apa ni udah season gua kasih lose trike mulu memang ni game,2
aku heran sama ini game aku sedang main rank tiba² jaringan nya jelek dan aku mau login ulang ternyata pertandingan ny sudah selesai dan aku afk gara². masalah jaringan aku terkena pengurangan poin 10 aku pun heran .aku juga pernah ketemu player yg afk aku report malah TDK terkena pengurangan poin.,aku heran sama ini game aku sedang main rank tiba jaring nya jelek dan aku mau login ulang nyata tanding ny sudah selesai dan aku afk gara masalah jaring aku kena kurang poin aku pun heran aku juga pernah ketemu player yg afk aku report malah tidak kena kurang poin,1
gambar di thumbnail playstore mengandung pornografi tolonh di tindak,gambar di thumbnail playstore kandung pornografi tolonh di tindak,1
bintang yg bicara,bintang yg bicara,1
Kasih musuh yang masuk akal lah muntuuun masa saya 1 lawan 5 terus,kasih musuh yang masuk akal lah muntuuun masa saya lawan terus,1
protection card not working,protection card not working,1
baguss,baguss,5
Abizar geyangseru,abizar geyangseru,5
"defeloper tolol masa aku nyepin iven dapet hape masa gak bisa di ambil hadiah nya ""sangat kecewa🤢",defeloper tolol masa aku nyepin iven dapet hape masa gak bisa di ambil hadiah nya sangat kecewa,1
bagus,bagus,5
guwa kalah Mulu jarang menang,guwa kalah mulu jarang menang,3
monton mmk ga mau gua win dikasih nyatuh win Los win Los,monton mmk tidak mau gua win kasih nyatuh win los win los,1
Ngelag banget anjir ml sekarang perbaikin buruan woyyyyy,ngelag banget anjir ml sekarang perbaikin buru woyyyyy,1
game aneh gajelas,game aneh gajelas,1
benahi bug chip nya moonton,benah bug chip nya moonton,2
no1 rajanya ngelag. sungguh mengecewakan,no raja ngelag sungguh kecewa,5
game parah banyak player trolll gk jelas banget,game parah banyak player trolll tidak jelas banget,1
saya sangat menyukai game ini,saya sangat suka game ini,5
bagus sekali,bagus sekali,5
game nya seru,game nya seru,5
mohon diperbaiki bug leg server id nya monton sama kasih lawan dan tim yg seimbang musuh terlalu jago oke lah tapi kalo tim anomali kaga puas aja semoga diperbaiki lagi,mohon baik bug leg server id nya monton sama kasih lawan dan tim yg imbang musuh terlalu jago oke lah tapi kalo tim anomali kaga puas aja moga baik lagi,4
saya tidak bisa mendeskripsikan nya intinya saya sangat suka dan gem ini sangat lah mengasikkan,saya tidak bisa deskripsi nya inti saya sangat suka dan gem ini sangat lah mengasikkan,5
kasih tim yang waras ege,kasih tim yang waras ege,1
lagi parah padahal sinyalnya bagus,lagi parah padahal sinyal bagus,1
Crash Lag Game...💀👎,crash lag game,1
"game ga jelas, setiap main selalu dikasih musuh yang pro",game tidak jelas tiap main selalu kasih musuh yang pro,1
game nya asik,game nya asik,5
"tolong match making nya diseimbangkan, masa saya dari epic 1 turun jadi epic 2 gara² lane tubrukan mulu. itu pun kalo mainnya bagus lah ini gabisa main hadeh...",tolong match making nya imbang masa saya dari epic turun jadi epic gara lane tubruk mulu itu pun kalo main bagus lah ini gabisa main hadeh,1
kpd yth : montoon tolong perbaiki sinyalnya aku main di ram 3 suka leg dan tiba tiba sinyalnya ilang tolong perbaiki terimakasih atas waktunya,kpd yth montoon tolong baik sinyal aku main di ram suka leg dan tiba tiba sinyal ilang tolong baik terimakasih atas waktu,3
seru banget. mainan ml skin gua bada jago-jago gua kasih reting 100/80,seru banget main ml skin gua bada jagojago gua kasih reting,5
👍🏻,,5
Permainan ini sangat menyenangkan saya menyukai nya 👍👍👍,main ini sangat senang saya suka nya,5
banyak beban dan ada nyang ngetrol bucin ada juga draksistem nyebelin tadinya legend bintang 4 sekarang menjadi epik bintang 3,banyak beban dan ada nyang ngetrol bucin ada juga draksistem nyebelin tadi legend bintang sekarang jadi epik bintang,1
terlalu serruuuuuuu,terlalu serruuuuuuu,5
game nomor 1 di dunia di bos,game nomor di dunia di bos,5
tolong dong di tambahin fitur ketika level afinitas kita dengan teman kita sudah tinggi itu bisa mengirim battle point ke teman afinitas kita tapi tetap di batasi 1000 point per hari atau 1500 point perhari atau juga 5000 point per Minggu dan juga bisa menukarkan skin trial yang kita mau dengan teman afinitas kita Dengan sarat level afinitas sudah tinggi misal level 4,tolong dong di tambahin fitur ketika level afinitas kita dengan teman kita sudah tinggi itu bisa kirim battle point ke teman afinitas kita tapi tetap di batas point per hari atau point hari atau juga point per minggu dan juga bisa tukar skin trial yang kita mau dengan teman afinitas kita dengan sarat level afinitas sudah tinggi misal level,5
Game stres,game stres,2
ini sangat cocok bagi anda,ini sangat cocok bagi anda,5
ɢᴇᴍᴇ ɴʏᴀ sᴀɴɢᴀᴛ ʙᴀɢᴜs,  s s,5
"setiap main sinyal selalu buruk, setelah tutup aplikasi sinyal lancar, begitu terus, game rusak gak jelas",tiap main sinyal selalu buruk telah tutup aplikasi sinyal lancar begitu terus game rusak gak jelas,1
